BUY,CURRENCY,SELL,_id,jam_scrape
18546,GBP,18690,6485649d4a89fb70250f4361,2023-06-11 06:07:21.76003
16387,CHF,16507,6485649d4a89fb70250f4362,2023-06-11 06:07:21.76003
15899,EUR,16040,6485649d4a89fb70250f4363,2023-06-11 06:07:21.76003
14826,USD,14846,6485649d4a89fb70250f4364,2023-06-11 06:07:21.76003
11070,CAD,11182,6485649d4a89fb70250f4365,2023-06-11 06:07:21.76003
11026,SGD,11049,6485649d4a89fb70250f4366,2023-06-11 06:07:21.76003
9958,AUD,9977,6485649d4a89fb70250f4367,2023-06-11 06:07:21.76003
8888,NZD,9188,6485649d4a89fb70250f4368,2023-06-11 06:07:21.76003
3932,SAR,3979,6485649d4a89fb70250f4369,2023-06-11 06:07:21.76003
3208,MYR,3223,6485649d4a89fb70250f436a,2023-06-11 06:07:21.76003
1872,HKD,1913,6485649d4a89fb70250f436b,2023-06-11 06:07:21.76003
427.7,THB,429.5,6485649d4a89fb70250f436c,2023-06-11 06:07:21.76003
105.53,JPY,107.13,6485649d4a89fb70250f436d,2023-06-11 06:07:21.76003
18546,GBP,18690,648566c56d4a1af33502ecf1,2023-06-11 06:16:33.908429
16387,CHF,16507,648566c56d4a1af33502ecf2,2023-06-11 06:16:33.908429
15899,EUR,16040,648566c56d4a1af33502ecf3,2023-06-11 06:16:33.908429
14826,USD,14846,648566c56d4a1af33502ecf4,2023-06-11 06:16:33.908429
11070,CAD,11182,648566c56d4a1af33502ecf5,2023-06-11 06:16:33.908429
11026,SGD,11049,648566c56d4a1af33502ecf6,2023-06-11 06:16:33.908429
9958,AUD,9977,648566c56d4a1af33502ecf7,2023-06-11 06:16:33.908429
8888,NZD,9188,648566c56d4a1af33502ecf8,2023-06-11 06:16:33.908429
3932,SAR,3979,648566c56d4a1af33502ecf9,2023-06-11 06:16:33.908429
3208,MYR,3223,648566c56d4a1af33502ecfa,2023-06-11 06:16:33.908429
1872,HKD,1913,648566c56d4a1af33502ecfb,2023-06-11 06:16:33.908429
427.7,THB,429.5,648566c56d4a1af33502ecfc,2023-06-11 06:16:33.908429
105.53,JPY,107.13,648566c56d4a1af33502ecfd,2023-06-11 06:16:33.908429
