BUY,CURRENCY,SELL,_id,jam_scrape
18546,GBP,18690,6485649e4a89fb70250f437b,2023-06-11 06:07:21.772099
16387,CHF,16507,6485649e4a89fb70250f437c,2023-06-11 06:07:21.772099
15899,EUR,16040,6485649e4a89fb70250f437d,2023-06-11 06:07:21.772099
14826,USD,14846,6485649e4a89fb70250f437e,2023-06-11 06:07:21.772099
11070,CAD,11182,6485649e4a89fb70250f437f,2023-06-11 06:07:21.772099
11026,SGD,11049,6485649e4a89fb70250f4380,2023-06-11 06:07:21.772099
9958,AUD,9977,6485649e4a89fb70250f4381,2023-06-11 06:07:21.772099
8888,NZD,9188,6485649e4a89fb70250f4382,2023-06-11 06:07:21.772099
3932,SAR,3979,6485649e4a89fb70250f4383,2023-06-11 06:07:21.772099
3208,MYR,3223,6485649e4a89fb70250f4384,2023-06-11 06:07:21.772099
1872,HKD,1913,6485649e4a89fb70250f4385,2023-06-11 06:07:21.772099
427.7,THB,429.5,6485649e4a89fb70250f4386,2023-06-11 06:07:21.772099
105.53,JPY,107.13,6485649e4a89fb70250f4387,2023-06-11 06:07:21.772099
18546,GBP,18690,648566c56d4a1af33502ed0b,2023-06-11 06:16:33.912538
16387,CHF,16507,648566c56d4a1af33502ed0c,2023-06-11 06:16:33.912538
15899,EUR,16040,648566c56d4a1af33502ed0d,2023-06-11 06:16:33.912538
14826,USD,14846,648566c56d4a1af33502ed0e,2023-06-11 06:16:33.912538
11070,CAD,11182,648566c56d4a1af33502ed0f,2023-06-11 06:16:33.912538
11026,SGD,11049,648566c56d4a1af33502ed10,2023-06-11 06:16:33.912538
9958,AUD,9977,648566c56d4a1af33502ed11,2023-06-11 06:16:33.912538
8888,NZD,9188,648566c56d4a1af33502ed12,2023-06-11 06:16:33.912538
3932,SAR,3979,648566c56d4a1af33502ed13,2023-06-11 06:16:33.912538
3208,MYR,3223,648566c56d4a1af33502ed14,2023-06-11 06:16:33.912538
1872,HKD,1913,648566c56d4a1af33502ed15,2023-06-11 06:16:33.912538
427.7,THB,429.5,648566c56d4a1af33502ed16,2023-06-11 06:16:33.912538
105.53,JPY,107.13,648566c56d4a1af33502ed17,2023-06-11 06:16:33.912538
18546,GBP,18690,64856a24938acff36e0dec3b,2023-06-11 06:30:56.394981
16387,CHF,16507,64856a24938acff36e0dec3c,2023-06-11 06:30:56.394981
15899,EUR,16040,64856a24938acff36e0dec3d,2023-06-11 06:30:56.394981
14826,USD,14846,64856a24938acff36e0dec3e,2023-06-11 06:30:56.394981
11070,CAD,11182,64856a24938acff36e0dec3f,2023-06-11 06:30:56.394981
11026,SGD,11049,64856a24938acff36e0dec40,2023-06-11 06:30:56.394981
9958,AUD,9977,64856a24938acff36e0dec41,2023-06-11 06:30:56.394981
8888,NZD,9188,64856a24938acff36e0dec42,2023-06-11 06:30:56.394981
3932,SAR,3979,64856a24938acff36e0dec43,2023-06-11 06:30:56.394981
3208,MYR,3223,64856a24938acff36e0dec44,2023-06-11 06:30:56.394981
1872,HKD,1913,64856a24938acff36e0dec45,2023-06-11 06:30:56.394981
427.7,THB,429.5,64856a24938acff36e0dec46,2023-06-11 06:30:56.394981
105.53,JPY,107.13,64856a24938acff36e0dec47,2023-06-11 06:30:56.394981
18546,GBP,18690,64856d587910ba750c0f35db,2023-06-11 06:44:36.066907
16387,CHF,16507,64856d587910ba750c0f35dc,2023-06-11 06:44:36.066907
15899,EUR,16040,64856d587910ba750c0f35dd,2023-06-11 06:44:36.066907
14826,USD,14846,64856d587910ba750c0f35de,2023-06-11 06:44:36.066907
11070,CAD,11182,64856d587910ba750c0f35df,2023-06-11 06:44:36.066907
11026,SGD,11049,64856d587910ba750c0f35e0,2023-06-11 06:44:36.066907
9958,AUD,9977,64856d587910ba750c0f35e1,2023-06-11 06:44:36.066907
8888,NZD,9188,64856d587910ba750c0f35e2,2023-06-11 06:44:36.066907
3932,SAR,3979,64856d587910ba750c0f35e3,2023-06-11 06:44:36.066907
3208,MYR,3223,64856d587910ba750c0f35e4,2023-06-11 06:44:36.066907
1872,HKD,1913,64856d587910ba750c0f35e5,2023-06-11 06:44:36.066907
427.7,THB,429.5,64856d587910ba750c0f35e6,2023-06-11 06:44:36.066907
105.53,JPY,107.13,64856d587910ba750c0f35e7,2023-06-11 06:44:36.066907
18546,GBP,18690,64856e98e1917bd8df04ab8b,2023-06-11 06:49:57.383785
16387,CHF,16507,64856e98e1917bd8df04ab8c,2023-06-11 06:49:57.383785
15899,EUR,16040,64856e98e1917bd8df04ab8d,2023-06-11 06:49:57.383785
14826,USD,14846,64856e98e1917bd8df04ab8e,2023-06-11 06:49:57.383785
11070,CAD,11182,64856e98e1917bd8df04ab8f,2023-06-11 06:49:57.383785
11026,SGD,11049,64856e98e1917bd8df04ab90,2023-06-11 06:49:57.383785
